,0,1,2
0,000607.SZ,2003-01-15,buy
1,000607.SZ,2003-02-14,sell
2,000681.SZ,2003-07-29,buy
3,000681.SZ,2003-09-02,sell
4,000673.SZ,2003-09-19,buy
5,000673.SZ,2003-10-20,sell
6,000665.SZ,2003-12-23,buy
7,000665.SZ,2003-12-24,sell
8,000665.SZ,2003-12-25,buy
9,000665.SZ,2003-12-26,sell
10,000665.SZ,2003-12-29,buy
11,000665.SZ,2003-12-30,sell
12,000665.SZ,2003-12-31,buy
13,000665.SZ,2004-01-02,sell
14,000665.SZ,2004-01-05,buy
15,000665.SZ,2004-01-06,sell
16,000665.SZ,2004-01-07,buy
17,000665.SZ,2004-01-08,sell
18,000665.SZ,2004-01-09,buy
19,000665.SZ,2004-01-12,sell
20,000665.SZ,2004-01-13,buy
21,000665.SZ,2004-01-29,sell
22,000665.SZ,2004-01-30,buy
23,000665.SZ,2004-02-02,sell
24,000665.SZ,2004-02-03,buy
25,000665.SZ,2004-02-16,sell
26,000665.SZ,2004-02-17,buy
27,000665.SZ,2004-02-19,sell
28,000665.SZ,2004-02-20,buy
29,000665.SZ,2004-04-05,sell
30,600373.SH,2004-04-06,buy
31,600373.SH,2004-04-08,sell
32,600373.SH,2004-04-09,buy
33,600373.SH,2004-04-28,sell
34,600242.SH,2004-05-18,buy
35,600242.SH,2004-05-19,sell
36,000917.SZ,2004-06-09,buy
37,000917.SZ,2004-06-15,sell
38,600661.SH,2004-06-16,buy
39,600661.SH,2004-06-17,sell
40,600661.SH,2004-06-18,buy
41,600661.SH,2004-06-21,sell
42,600661.SH,2004-06-22,buy
43,600661.SH,2004-06-23,sell
44,600661.SH,2004-06-24,buy
45,600661.SH,2004-06-25,sell
46,600661.SH,2004-06-28,buy
47,600661.SH,2004-06-29,sell
48,600661.SH,2004-06-30,buy
49,600661.SH,2004-07-01,sell
50,600633.SH,2004-08-02,buy
51,600633.SH,2004-08-06,sell
52,600373.SH,2004-09-08,buy
53,600373.SH,2004-12-09,sell
54,600640.SH,2004-12-10,buy
55,600640.SH,2004-12-27,sell
56,600640.SH,2004-12-28,buy
57,600640.SH,2005-01-05,sell
58,600640.SH,2005-01-06,buy
59,600640.SH,2005-01-07,sell
60,600640.SH,2005-01-10,buy
61,600640.SH,2005-01-11,sell
62,000719.SZ,2005-03-07,buy
63,000719.SZ,2005-06-07,sell
64,000719.SZ,2005-08-19,buy
65,000719.SZ,2005-10-10,sell
66,000719.SZ,2005-10-11,buy
67,000719.SZ,2005-10-27,sell
68,000719.SZ,2005-11-18,buy
69,000719.SZ,2005-11-30,sell
70,600242.SH,2006-02-08,buy
71,600242.SH,2006-03-09,sell
72,600242.SH,2006-05-18,buy
73,600242.SH,2006-06-26,sell
74,000793.SZ,2006-10-09,buy
75,000793.SZ,2006-11-06,sell
76,000606.SZ,2006-11-08,buy
77,000606.SZ,2006-11-15,sell
78,000606.SZ,2006-11-16,buy
79,000606.SZ,2006-12-19,sell
80,000606.SZ,2006-12-20,buy
81,000606.SZ,2007-01-30,sell
82,000606.SZ,2007-02-02,buy
83,000606.SZ,2007-03-02,sell
84,600640.SH,2007-04-26,buy
85,600640.SH,2007-04-27,sell
86,600640.SH,2007-04-30,buy
87,600640.SH,2007-05-10,sell
88,000681.SZ,2007-05-28,buy
89,000681.SZ,2007-05-30,sell
90,600757.SH,2007-06-19,buy
91,600757.SH,2007-09-12,sell
92,600637.SH,2007-10-15,buy
93,600637.SH,2007-10-25,sell
94,600715.SH,2007-10-31,buy
95,600715.SH,2007-12-12,sell
96,000719.SZ,2007-12-14,buy
97,000719.SZ,2007-12-17,sell
98,000719.SZ,2007-12-18,buy
99,000719.SZ,2007-12-20,sell
100,000719.SZ,2007-12-21,buy
101,000719.SZ,2007-12-24,sell
102,000719.SZ,2007-12-25,buy
103,000719.SZ,2007-12-26,sell
104,000719.SZ,2007-12-27,buy
105,000719.SZ,2007-12-28,sell
106,000719.SZ,2008-01-02,buy
107,000719.SZ,2008-01-03,sell
108,000719.SZ,2008-01-04,buy
109,000719.SZ,2008-01-07,sell
110,000719.SZ,2008-01-08,buy
111,000719.SZ,2008-01-09,sell
112,000719.SZ,2008-01-10,buy
113,000719.SZ,2008-01-11,sell
114,000719.SZ,2008-01-14,buy
115,000719.SZ,2008-01-15,sell
116,000665.SZ,2008-01-22,buy
117,000665.SZ,2008-01-24,sell
118,000719.SZ,2008-01-25,buy
119,000719.SZ,2008-04-29,sell
120,600455.SH,2008-04-30,buy
121,600455.SH,2008-06-10,sell
122,600637.SH,2008-06-11,buy
123,600637.SH,2008-06-12,sell
124,600637.SH,2008-06-13,buy
125,600637.SH,2008-06-16,sell
126,600637.SH,2008-06-17,buy
127,600637.SH,2008-06-18,sell
128,600637.SH,2008-06-19,buy
129,600637.SH,2008-06-20,sell
130,600637.SH,2008-06-23,buy
131,600637.SH,2008-09-17,sell
132,000681.SZ,2008-12-15,buy
133,000681.SZ,2009-01-09,sell
134,000681.SZ,2009-03-09,buy
135,000681.SZ,2009-06-08,sell
136,600136.SH,2009-06-09,buy
137,600136.SH,2009-07-02,sell
138,000606.SZ,2009-08-06,buy
139,000606.SZ,2009-08-12,sell
140,000606.SZ,2009-08-13,buy
141,000606.SZ,2009-08-14,sell
142,000606.SZ,2009-08-17,buy
143,000606.SZ,2009-08-19,sell
144,000606.SZ,2009-08-20,buy
145,000606.SZ,2009-08-21,sell
146,002027.SZ,2009-08-24,buy
147,002027.SZ,2009-08-25,sell
148,002027.SZ,2009-08-26,buy
149,002027.SZ,2009-08-27,sell
150,002027.SZ,2009-08-28,buy
151,002027.SZ,2009-08-31,sell
152,600715.SH,2009-09-01,buy
153,600715.SH,2009-09-02,sell
154,002131.SZ,2009-09-28,buy
155,002131.SZ,2009-10-23,sell
156,002131.SZ,2009-11-24,buy
157,002131.SZ,2009-11-26,sell
158,600661.SH,2009-11-27,buy
159,600661.SH,2009-12-02,sell
160,002131.SZ,2009-12-17,buy
161,002131.SZ,2009-12-24,sell
162,002131.SZ,2010-02-01,buy
163,002131.SZ,2010-02-08,sell
164,600986.SH,2010-02-09,buy
165,600986.SH,2010-02-10,sell
166,600986.SH,2010-02-11,buy
167,600986.SH,2010-02-12,sell
168,600986.SH,2010-02-22,buy
169,600986.SH,2010-02-23,sell
170,600986.SH,2010-02-24,buy
171,600986.SH,2010-03-01,sell
172,002131.SZ,2010-03-02,buy
173,002131.SZ,2010-03-03,sell
174,600986.SH,2010-03-04,buy
175,600986.SH,2010-04-23,sell
176,600892.SH,2010-04-26,buy
177,600892.SH,2010-04-30,sell
178,000606.SZ,2010-06-30,buy
179,000606.SZ,2010-07-12,sell
180,601999.SH,2010-07-13,buy
181,601999.SH,2010-08-25,sell
182,000665.SZ,2010-09-13,buy
183,000665.SZ,2010-10-13,sell
184,600551.SH,2010-10-14,buy
185,600551.SH,2010-10-18,sell
186,000665.SZ,2010-11-19,buy
187,000665.SZ,2010-11-23,sell
188,002113.SZ,2010-11-24,buy
189,002113.SZ,2010-11-25,sell
190,002113.SZ,2010-11-26,buy
191,002113.SZ,2010-11-29,sell
192,600892.SH,2010-11-30,buy
193,600892.SH,2010-12-01,sell
194,600892.SH,2010-12-02,buy
195,600892.SH,2010-12-09,sell
196,002175.SZ,2010-12-10,buy
197,002175.SZ,2010-12-13,sell
198,002175.SZ,2010-12-16,buy
199,002175.SZ,2010-12-23,sell
200,600088.SH,2010-12-24,buy
201,600088.SH,2010-12-29,sell
202,000673.SZ,2011-03-14,buy
203,000673.SZ,2011-03-16,sell
204,600831.SH,2011-03-17,buy
205,600831.SH,2011-03-31,sell
206,600880.SH,2011-04-01,buy
207,600880.SH,2011-05-25,sell
208,002071.SZ,2011-11-02,buy
209,002071.SZ,2011-11-16,sell
210,002174.SZ,2011-11-25,buy
211,002174.SZ,2011-12-13,sell
212,600715.SH,2011-12-14,buy
213,600715.SH,2011-12-15,sell
214,600715.SH,2011-12-16,buy
215,600715.SH,2011-12-19,sell
216,002131.SZ,2012-01-13,buy
217,002131.SZ,2012-02-28,sell
218,002175.SZ,2012-10-18,buy
219,002175.SZ,2012-10-30,sell
220,002354.SZ,2012-12-31,buy
221,002354.SZ,2013-01-08,sell
222,002143.SZ,2013-01-15,buy
223,002143.SZ,2013-01-21,sell
224,002354.SZ,2013-01-31,buy
225,002354.SZ,2013-03-04,sell
226,600551.SH,2013-03-05,buy
227,600551.SH,2013-03-06,sell
228,600640.SH,2013-03-07,buy
229,600640.SH,2013-03-08,sell
230,600640.SH,2013-03-11,buy
231,600640.SH,2013-03-12,sell
232,600640.SH,2013-03-13,buy
233,600640.SH,2013-03-14,sell
234,002400.SZ,2013-03-15,buy
235,002400.SZ,2013-03-18,sell
236,002447.SZ,2013-03-19,buy
237,002447.SZ,2013-03-20,sell
238,002447.SZ,2013-03-21,buy
239,002447.SZ,2013-03-22,sell
240,300058.SZ,2013-04-22,buy
241,300058.SZ,2013-05-03,sell
242,002181.SZ,2013-05-27,buy
243,002181.SZ,2013-06-04,sell
244,300027.SZ,2013-07-18,buy
245,300027.SZ,2013-07-29,sell
246,601599.SH,2013-08-08,buy
247,601599.SH,2013-09-30,sell
248,600757.SH,2013-10-08,buy
249,600757.SH,2013-10-09,sell
250,601999.SH,2013-10-10,buy
251,601999.SH,2014-01-06,sell
252,601928.SH,2014-01-07,buy
253,601928.SH,2014-01-08,sell
254,601928.SH,2014-01-09,buy
255,601928.SH,2014-01-10,sell
256,300052.SZ,2014-01-21,buy
257,300052.SZ,2014-02-21,sell
258,600640.SH,2014-03-06,buy
259,600640.SH,2014-03-14,sell
260,002602.SZ,2014-03-24,buy
261,002602.SZ,2014-03-27,sell
262,002602.SZ,2014-08-14,buy
263,002602.SZ,2014-09-12,sell
264,300269.SZ,2014-09-15,buy
265,300269.SZ,2014-09-16,sell
266,300269.SZ,2014-09-17,buy
267,300269.SZ,2014-09-18,sell
268,002131.SZ,2014-09-19,buy
269,002131.SZ,2014-09-22,sell
270,600715.SH,2015-03-23,buy
271,600715.SH,2015-03-24,sell
272,002095.SZ,2015-04-03,buy
273,002095.SZ,2015-04-27,sell
274,002464.SZ,2015-05-08,buy
275,002464.SZ,2015-05-22,sell
276,002530.SZ,2015-05-27,buy
277,002530.SZ,2015-05-29,sell
278,300226.SZ,2015-06-01,buy
279,300226.SZ,2015-06-03,sell
280,601999.SH,2015-06-19,buy
281,601999.SH,2015-07-27,sell
282,300336.SZ,2015-08-03,buy
283,300336.SZ,2015-08-21,sell
284,600831.SH,2015-08-24,buy
285,600831.SH,2015-08-25,sell
286,600986.SH,2015-08-26,buy
287,600986.SH,2015-08-27,sell
288,600986.SH,2015-08-28,buy
289,600986.SH,2015-08-31,sell
290,300104.SZ,2015-09-02,buy
291,300104.SZ,2015-09-16,sell
292,000038.SZ,2015-09-17,buy
293,000038.SZ,2015-09-23,sell
294,002123.SZ,2015-09-24,buy
295,002123.SZ,2015-09-25,sell
296,002400.SZ,2015-09-28,buy
297,002400.SZ,2015-11-23,sell
298,300251.SZ,2016-01-28,buy
299,300251.SZ,2016-04-21,sell
300,002123.SZ,2016-04-22,buy
301,002123.SZ,2016-04-27,sell
302,601928.SH,2016-04-28,buy
303,601928.SH,2016-04-29,sell
304,601928.SH,2016-05-03,buy
305,601928.SH,2016-05-04,sell
306,300269.SZ,2016-05-05,buy
307,300269.SZ,2016-05-30,sell
308,601928.SH,2016-05-31,buy
309,601928.SH,2016-06-01,sell
310,002123.SZ,2016-07-11,buy
311,002123.SZ,2016-07-12,sell
312,002181.SZ,2016-07-22,buy
313,002181.SZ,2016-07-27,sell
314,002181.SZ,2016-07-28,buy
315,002181.SZ,2016-07-29,sell
316,300133.SZ,2016-08-01,buy
317,300133.SZ,2016-09-13,sell
318,002123.SZ,2017-02-24,buy
319,002123.SZ,2017-04-24,sell
